DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year
,Commercial Titan III,Skynet 4A,MoD,Geosynchronous,Communications,In orbit,Successful,1990
,Commercial Titan III,JCSAT 2,JSAT,Geosynchronous,Communications,In orbit,Successful,1990
,Space Shuttle Columbia,STS-32,NASA,Low Earth,Satellite deployment and retrieval,20 January 09:35 (UTC)[6],Successful,1990
,Space Shuttle Columbia,Leasat F5 also known as Syncom IV-5.,NASA,Geosynchronous,Communications,In orbit,Successful,1990
,Ariane 4 (40),SPOT 2,CNES,Sun-synchronous,Earth observation,In orbit,Successful,1990
,Ariane 4 (40),UOSAT 3 also known as UoSAT-OSCAR 14,University of Surrey,Sun-synchronous,Communications,In orbit,Successful,1990
,Ariane 4 (40),UOSAT 4,University of Surrey,Sun-synchronous,Communications,In orbit,Spacecraft failure 30 hours after launch,1990
,Ariane 4 (40),PACSAT,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990
,Ariane 4 (40),Microsat 2,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990
,Ariane 4 (40),Microsat 3,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990
,Ariane 4 (40),Microsat 4,AMSAT,Sun-synchronous,Communications,In orbit,Operational,1990
,Mu-3S-II,Hiten,ISAS,,Lunar probe,11 April 1993,Successful,1990
,Mu-3S-II,Hagoromo,ISAS,Selenocentric,Lunar orbiter,In orbit,Spacecraft failure,1990
,Mu-3S-II,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,1990
,Delta II 6925,GPS II-6 (USA-50),US Air Force,Medium Earth,Navigation,In orbit,Successful,1990
,H-I,MOS 1B,NASDA,Low Earth,Earth observation,In orbit,Operational,1990
,Delta II 6920-8,LACE (USA-51),DoD,Low Earth,Technology demonstration,24 May 2000[22],Successful,1990
,Delta II 6920-8,RME (USA-52),DoD,Low Earth,Technology demonstration,24 May 1992[23],Successful,1990
,Ariane 4 (44L),Superbird B,SCC,Intended: Geosynchronous transfer,Communications,T+ seconds,Launch failure,1990
,Ariane 4 (44L),Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,Blocked water line caused rocket explosion,1990
,Space Shuttle Atlantis,STS-36,NASA,Low Earth,Satellite deployment,4 March 03:08,Successful,1990
,Space Shuttle Atlantis,USA-53 (Misty-1),NRO,Low Earth,Reconnaissance,In orbit,Operational,1990
