DateTime,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,Year,FlightNumberInfo,LaunchSite
1 January 00:07 (UTC)[1],Commercial Titan III[1],Skynet 4A[1],MoD,GEO,Communications,In orbit,Successful; placed in graveyard orbit 20 June 2005[2],1990,,
1 January 00:07 (UTC)[1],Commercial Titan III[1],JCSAT 2[1],JSAT,GEO,Communications,In orbit,Successful; placed in graveyard orbit 2002[3],1990,,
1 January 00:07 (UTC)[1],Commercial Titan III[1],,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,1990,First flight,
9 January 12:35 (UTC)[5],Space Shuttle Columbia,STS-32,NASA,LEO,Satellite deployment and retrieval,20 January 09:35 (UTC)[6],Successful,1990,,
9 January 12:35 (UTC)[5],Space Shuttle Columbia,Leasat F5 also known as Syncom IV-5.[7],NASA,GEO,Communications,In orbit,Successful; placed in graveyard orbit 24 September 2015.[4],1990,,
9 January 12:35 (UTC)[5],Space Shuttle Columbia,Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],1990,,
17 January 14:45 (UTC)[8],Soyuz-U,Kosmos 2055 (Zenit-8)[8],,LEO,Reconnaissance,29 January[8],Successful,1990,,
18 January 12:52 (UTC)[9],Kosmos-3M,Kosmos 2056 (Strela-2M)[9],,LEO,Communications,In orbit,Successful; replaced by Kosmos 2208 12 August 1992.[10],1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),SPOT 2,CNES,Sun-synchronous,Earth observation,In orbit,"Successful; retired July, 2009.[12]",1990,,
22 January 01:35 (UTC)[11],Ariane 4 (40),UOSAT 3 also known as UoSAT-OSCAR 14[13],University of Surrey,Sun-synchronous,Communications,In orbit,Successful; retired from active service in 1999[14] and used as an amateur FM radio relay until 11 November 2003.[15],1990,,
