Rocket,Payload,Operator,Orbit,Function,Decay,FlightNumberInfo,LaunchSite,Success,Rocket_ID,Year,Month,DayOfWeek,Hour
Commercial Titan III[1],Skynet 4A[1],MoD,GEO,Communications,In orbit,,,1,59,1990.0,1.0,0.0,0.0
Commercial Titan III[1],JCSAT 2[1],JSAT,GEO,Communications,In orbit,,,1,59,1990.0,1.0,0.0,0.0
Space Shuttle Columbia,STS-32,NASA,LEO,Satellite deployment and retrieval,20 January 09:35 (UTC)[6],,,1,298,1990.0,1.0,1.0,12.0
Space Shuttle Columbia,Leasat F5 also known as Syncom IV-5.[7],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],GEO,Communications,In orbit,,,1,298,1990.0,1.0,1.0,12.0
Space Shuttle Columbia,Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],,,0,298,1990.0,1.0,1.0,12.0
Soyuz-U,Kosmos 2055 (Zenit-8)[8],,LEO,Reconnaissance,29 January[8],,,1,288,1990.0,1.0,2.0,14.0
Kosmos-3M,Kosmos 2056 (Strela-2M)[9],,LEO,Communications,In orbit,,,1,141,1990.0,1.0,3.0,12.0
Ariane 4 (40),SPOT 2,CNES,Sun-synchronous,Earth observation,In orbit,,,1,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),UOSAT 3 also known as UoSAT-OSCAR 14[13],University of Surrey,Sun-synchronous,Communications,In orbit,,,0,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),UOSAT 4,AMSAT,Sun-synchronous,Communications,In orbit,,,1,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),PACSAT,AMSAT,Sun-synchronous,Communications,In orbit,,,0,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),Microsat 2,AMSAT,Sun-synchronous,Communications,In orbit,,,1,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),Microsat 3,AMSAT,Sun-synchronous,Communications,In orbit,,,1,7,1990.0,1.0,0.0,1.0
Ariane 4 (40),Microsat 4,AMSAT,Sun-synchronous,Communications,In orbit,,,1,7,1990.0,1.0,0.0,1.0
Molniya-M/ML,Molniya 3-53L,,Molniya,Communications,23 June 2003,,,1,197,1990.0,1.0,1.0,2.0
Mu-3S-II,Hiten,ISAS,Selenocentric,Lunar probe,11 April 1993,,,1,198,1990.0,1.0,2.0,11.0
Mu-3S-II,Hagoromo,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,Lunar orbiter,In orbit,,,0,198,1990.0,1.0,2.0,11.0
Mu-3S-II,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,,,0,198,1990.0,1.0,2.0,11.0
Delta II 6925[18],GPS II-6 (USA-50)[18],US Air Force,MEO,Navigation,In orbit,,,1,70,1990.0,1.0,2.0,22.0
Soyuz-U[18],Kosmos 2057 (Yantar-4K2)[18],,LEO,Reconnaissance,19 March 1990[19],,,1,293,1990.0,1.0,3.0,17.0
Tsyklon-3[18],Kosmos 2058 (Tselina-R)[18],,LEO,ELINT,In orbit,,,1,342,1990.0,1.0,1.0,11.0
Long March 3[18],DFH-2[18] A-4,,GEO,Communications,In orbit,,,1,171,1990.0,2.0,6.0,12.0
Kosmos-3M,Kosmos 2059 (Taifun-2),,LEO,Radar calibration,12 November,,,1,141,1990.0,2.0,1.0,16.0
