DateTimeYear,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite,Success
1 January 00:07 (UTC)[1]-1990,Commercial Titan III[1],Skynet 4A[1],MoD,GEO,Communications,In orbit,Successful; placed in graveyard orbit 20 June 2005[2],,,1
1 January 00:07 (UTC)[1]-1990,Commercial Titan III[1],JCSAT 2[1],JSAT,GEO,Communications,In orbit,Successful; placed in graveyard orbit 2002[3],,,1
9 January 12:35 (UTC)[5]-1990,Space Shuttle Columbia,STS-32,NASA,LEO,Satellite deployment and retrieval,20 January 09:35 (UTC)[6],Successful,,,1
9 January 12:35 (UTC)[5]-1990,Space Shuttle Columbia,Leasat F5 also known as Syncom IV-5.[7],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],GEO,Communications,In orbit,Successful; placed in graveyard orbit 24 September 2015.[4],,,1
9 January 12:35 (UTC)[5]-1990,Space Shuttle Columbia,Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],,,0
17 January 14:45 (UTC)[8]-1990,Soyuz-U,Kosmos 2055 (Zenit-8)[8],nan,LEO,Reconnaissance,29 January[8],Successful,,,1
18 January 12:52 (UTC)[9]-1990,Kosmos-3M,Kosmos 2056 (Strela-2M)[9],nan,LEO,Communications,In orbit,Successful; replaced by Kosmos 2208 12 August 1992.[10],,,1
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),SPOT 2,CNES,Sun-synchronous,Earth observation,In orbit,Successful; retired July,,,1
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),UOSAT 3 also known as UoSAT-OSCAR 14[13],University of Surrey,Sun-synchronous,Communications,In orbit,2009.[12],,,0
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),UOSAT 4,AMSAT,Sun-synchronous,Communications,In orbit,Successful; retired from active service in 1999[14] and used as an amateur FM radio relay until 11 November 2003.[15],,,1
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),PACSAT,AMSAT,Sun-synchronous,Communications,In orbit,Spacecraft failure 30 hours after launch[16],,,0
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),Microsat 2,AMSAT,Sun-synchronous,Communications,In orbit,Operational,,,1
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),Microsat 3,AMSAT,Sun-synchronous,Communications,In orbit,Operational,,,1
22 January 01:35 (UTC)[11]-1990,Ariane 4 (40),Microsat 4,AMSAT,Sun-synchronous,Communications,In orbit,Operational,,,1
23 January 02:52-1990,Molniya-M/ML,Molniya 3-53L,nan,Molniya,Communications,23 June 2003,Successful,,,1
24 January 11:46-1990,Mu-3S-II,Hiten,ISAS,Selenocentric,Lunar probe,11 April 1993,Successful,,,1
24 January 11:46-1990,Mu-3S-II,Hagoromo,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,Lunar orbiter,In orbit,Spacecraft failure,,,0
24 January 11:46-1990,Mu-3S-II,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection,,,0
24 January 22:55:01 (UTC)[17][18]-1990,Delta II 6925[18],GPS II-6 (USA-50)[18],US Air Force,MEO,Navigation,In orbit,Successful,,,1
25 January 17:15 (UTC)[18]-1990,Soyuz-U[18],Kosmos 2057 (Yantar-4K2)[18],nan,LEO,Reconnaissance,19 March 1990[19],Successful,,,1
30 January 11:20 (UTC)[18]-1990,Tsyklon-3[18],Kosmos 2058 (Tselina-R)[18],nan,LEO,ELINT,In orbit,Operational,,,1
4 February 12:27:03 (UTC)[18]-1990,Long March 3[18],DFH-2[18] A-4,nan,GEO,Communications,In orbit,Successful; retired in the early 1990s[20],,,1
6 February 16:30-1990,Kosmos-3M,Kosmos 2059 (Taifun-2),nan,LEO,Radar calibration,12 November,Successful,,,1
7 February 01:33-1990,H-I,MOS 1B,NASDA,LEO,Earth observation,In orbit,Operational,,,1
7 February 01:33-1990,H-I,DEBUT,NASDA,LEO,Technology demonstration,In orbit,Successful,,,1
7 February 01:33-1990,H-I,JAS-1B,NASDA,LEO,Communications,In orbit,Successful,,,1
11 February 06:16-1990,Soyuz-U2,Soyuz TM-9,Crewed orbital flight with 2 cosmonauts,LEO (Mir),Mir EO-9,9 August 07:33,Successful,,,1
11 February 06:16-1990,Soyuz-U2,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,Crewed orbital flight with 2 cosmonauts,,,0
14 February 16:15:01 (UTC)[21][18]-1990,Delta II 6920-8[18],LACE (USA-51)[18],DoD,LEO,Technology demonstration,24 May 2000[22],Successful,,,1
