Year,Month,DayOfWeek,Hour,Rocket_ID,Rocket,Payload,Operator,FlightNumberInfo,Orbit,Function,crewed,Success
1990.0,1.0,0.0,0.0,54,Commercial Titan III,"Skynet 4A, JCSAT 2","MoD, JSAT",,GEO,Communications,0,1
1990.0,1.0,1.0,12.0,276,Space Shuttle Columbia,"STS-32, Leasat F5 also known as Syncom IV-5., Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.","NASA, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.",,"LEO, GEO, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.","Satellite deployment and retrieval, Communications, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.",1,1
1990.0,1.0,2.0,14.0,270,Soyuz-U,Kosmos 2055 (Zenit-8),,,LEO,Reconnaissance,0,1
1990.0,1.0,3.0,12.0,130,Kosmos-3M,Kosmos 2056 (Strela-2M),,,LEO,Communications,0,1
1990.0,1.0,0.0,1.0,7,Ariane 4 (40),"SPOT 2, UOSAT 3 also known as UoSAT-OSCAR 14, UOSAT 4, PACSAT, Microsat 2, Microsat 3, Microsat 4","CNES, University of Surrey, AMSAT",,Sun-synchronous,"Earth observation, Communications",0,1
1990.0,1.0,1.0,2.0,182,Molniya-M/ML,Molniya 3-53L,,,Molniya,Communications,0,1
1990.0,1.0,2.0,11.0,183,Mu-3S-II,"Hiten, Hagoromo, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","ISAS, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection",,"Selenocentric, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","Lunar probe, Lunar orbiter, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection",0,1
1990.0,1.0,2.0,22.0,64,Delta II 6925,GPS II-6 (USA-50),US Air Force,,MEO,Navigation,0,1
1990.0,1.0,3.0,17.0,270,Soyuz-U,Kosmos 2057 (Yantar-4K2),,,LEO,Reconnaissance,0,1
1990.0,1.0,1.0,11.0,310,Tsyklon-3,Kosmos 2058 (Tselina-R),,,LEO,ELINT,0,1
