Date and time (UTC),Rocket,Rocket,Flight number,Launch site,Launch site,LSP,LSP,Year
Date and time (UTC),Unnamed: 1_level_1,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome,
Date and time (UTC),Unnamed: 1_level_2,Remarks,Remarks,Remarks,Remarks,Remarks,Remarks,
January[edit],January[edit],January[edit],January[edit],January[edit],January[edit],January[edit],January[edit],1990
1 January 00:07 (UTC)[1],Commercial Titan III[1],Commercial Titan III[1],,Cape Canaveral[1] LC-40,Cape Canaveral[1] LC-40,Martin Marietta[1],Martin Marietta[1],1990
1 January 00:07 (UTC)[1],,,,,,,,1990
1 January 00:07 (UTC)[1],,Skynet 4A[1],MoD,Geosynchronous,Communications,In orbit,Successful; placed in graveyard orbit 20 June 2005[2],1990
1 January 00:07 (UTC)[1],,JCSAT 2[1],JSAT,Geosynchronous,Communications,In orbit,Successful; placed in graveyard orbit 2002[3],1990
1 January 00:07 (UTC)[1],,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,Maiden flight of Commercial Titan III,1990
9 January 12:35 (UTC)[5],Space Shuttle Columbia,Space Shuttle Columbia,,Kennedy LC-39A,Kennedy LC-39A,,,1990
9 January 12:35 (UTC)[5],,,,,,,,1990
9 January 12:35 (UTC)[5],,STS-32,NASA,Low Earth,Satellite deployment and retrieval,20 January 09:35 (UTC)[6],Successful,1990
9 January 12:35 (UTC)[5],,Leasat F5 also known as Syncom IV-5.[7],NASA,Geosynchronous,Communications,In orbit,Successful; placed in graveyard orbit 24 September 2015.[4],1990
9 January 12:35 (UTC)[5],,Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4],1990
17 January 14:45 (UTC)[8],Soyuz-U,Soyuz-U,,Plesetsk,Plesetsk,,,1990
17 January 14:45 (UTC)[8],,,,,,,,1990
17 January 14:45 (UTC)[8],,Kosmos 2055 (Zenit-8)[8],,Low Earth,Reconnaissance,29 January[8],Successful,1990
18 January 12:52 (UTC)[9],Kosmos-3M,Kosmos-3M,,Plesetsk Site 133/3,Plesetsk Site 133/3,,,1990
18 January 12:52 (UTC)[9],,,,,,,,1990
18 January 12:52 (UTC)[9],,Kosmos 2056 (Strela-2M)[9],,Low Earth,Communications,In orbit,Successful; replaced by Kosmos 2208 12 August 1992.[10],1990
22 January 01:35 (UTC)[11],Ariane 4 (40),Ariane 4 (40),,Kourou[11] ELA-2,Kourou[11] ELA-2,Arianespace,Arianespace,1990
22 January 01:35 (UTC)[11],,,,,,,,1990
