DateTimeYear,index,Rocket,Payload,Operator,Orbit,Function,Decay,Outcome,FlightNumberInfo,LaunchSite
1 January 00:07 (UTC)[1]-1990,"2, 3",Commercial Titan III[1],"Skynet 4A[1], JCSAT 2[1]","MoD, JSAT",GEO,Communications,In orbit,"Successful; placed in graveyard orbit 20 June 2005[2], Successful; placed in graveyard orbit 2002[3]",,
9 January 12:35 (UTC)[5]-1990,"6, 7, 8",Space Shuttle Columbia,"STS-32, Leasat F5 also known as Syncom IV-5.[7], Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]","NASA, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]","LEO, GEO, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]","Satellite deployment and retrieval, Communications, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]","20 January 09:35 (UTC)[6], In orbit, Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]","Successful, Successful; placed in graveyard orbit 24 September 2015.[4], Crewed orbital flight with 5 astronauts Long Duration Exposure Facility retrieval mission Leasat F5 retired 24 September 2015.[4]",,
17 January 14:45 (UTC)[8]-1990,10,Soyuz-U,Kosmos 2055 (Zenit-8)[8],,LEO,Reconnaissance,29 January[8],Successful,,
18 January 12:52 (UTC)[9]-1990,12,Kosmos-3M,Kosmos 2056 (Strela-2M)[9],,LEO,Communications,In orbit,Successful; replaced by Kosmos 2208 12 August 1992.[10],,
22 January 01:35 (UTC)[11]-1990,"14, 15, 16, 17, 18, 19, 20",Ariane 4 (40),"SPOT 2, UOSAT 3 also known as UoSAT-OSCAR 14[13], UOSAT 4, PACSAT, Microsat 2, Microsat 3, Microsat 4","CNES, University of Surrey, AMSAT",Sun-synchronous,"Earth observation, Communications",In orbit,"Successful; retired July, 2009.[12], Successful; retired from active service in 1999[14] and used as an amateur FM radio relay until 11 November 2003.[15], Spacecraft failure 30 hours after launch[16], Operational",,
23 January 02:52-1990,23,Molniya-M/ML,Molniya 3-53L,,Molniya,Communications,23 June 2003,Successful,,
24 January 11:46-1990,"25, 26, 27",Mu-3S-II,"Hiten, Hagoromo, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","ISAS, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","Selenocentric, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","Lunar probe, Lunar orbiter, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","11 April 1993, In orbit, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection","Successful, Spacecraft failure, First Japanese lunar mission Hagoromo suffered a transmitter malfunction prior to selenocentric orbit injection",,
24 January 22:55:01 (UTC)[17][18]-1990,29,Delta II 6925[18],GPS II-6 (USA-50)[18],US Air Force,MEO,Navigation,In orbit,Successful,,
25 January 17:15 (UTC)[18]-1990,31,Soyuz-U[18],Kosmos 2057 (Yantar-4K2)[18],,LEO,Reconnaissance,19 March 1990[19],Successful,,
30 January 11:20 (UTC)[18]-1990,33,Tsyklon-3[18],Kosmos 2058 (Tselina-R)[18],,LEO,ELINT,In orbit,Operational,,
